species,english_name,order,family
Veronica agrestis,Green Field-speedwell,Lamiales,Plantaginaceae
Scrophularia nodosa,Common Figwort,Lamiales,Scrophulariaceae
Veronica beccabunga,Brooklime,Lamiales,Plantaginaceae
Galium odoratum,Woodruff,Gentianales,Rubiaceae
Symphytum officinale,Common Comfrey,NA,Boraginaceae
Vicia sepium,Bush Vetch,Fabales,Fabaceae
Myosotis sylvatica,Wood Forget-me-not,NA,Boraginaceae
Rubus caesius,Dewberry,Rosales,Rosaceae
Brassica rapa,Turnip,Brassicales,Brassicaceae
Iris pseudacorus,Yellow Iris,Asparagales,Iridaceae
Taraxacum officinale,Dandelion,Asterales,Asteraceae
Cytisus scoparius,Broom,Fabales,Fabaceae
Potentilla anglica,Trailing Tormentil,Rosales,Rosaceae
Oxalis acetosella,Wood-sorrel,Oxalidales,Oxalidaceae
Pinguicula vulgaris,Common Butterwort,Lamiales,Lentibulariaceae
Stellaria alsine,Bog Stitchwort,Caryophyllales,Caryophyllaceae
Ranunculus acris,NA,Ranunculales,Ranunculaceae
Lamium galeobdolon,Yellow Archangel,Lamiales,Lamiaceae
Stachys arvensis,Field Woundwort,Lamiales,Lamiaceae
Angelica sylvestris,Wild Angelica,Apiales,Apiaceae
Epilobium tetragonum,Square-stalked Willowherb,Myrtales,Onagraceae
Cerastium fontanum,NA,Caryophyllales,Caryophyllaceae
Solanum tuberosum,Potato,Solanales,Solanaceae
Digitalis grandiflora,Yellow Foxglove,Lamiales,Plantaginaceae
Dioscorea communis,Black Bryony,Dioscoreales,Dioscoreaceae
Teucrium scorodonia,Wood Sage,Lamiales,Lamiaceae
Euphrasia officinalis,NA,Lamiales,Orobanchaceae
Artemisia absinthium,Wormwood,Asterales,Asteraceae
Sedum anglicum,English Stonecrop,Saxifragales,Crassulaceae
Hypericum tetrapterum,Square-stalked St John's-wort,Malpighiales,Hypericaceae
Mentha arvensis,Corn Mint,Lamiales,Lamiaceae
Senecio jacobaea,Common Ragwort,Asterales,Asteraceae
Vicia faba,Broad Bean,Fabales,Fabaceae
Euphorbia helioscopia,Sun Spurge,Malpighiales,Euphorbiaceae
Tripleurospermum maritimum,Sea Mayweed,Asterales,Asteraceae
Conium maculatum,Hemlock,Apiales,Apiaceae
Chenopodium album,Fat-hen,Caryophyllales,Amaranthaceae
Sonchus oleraceus,Smooth Sow-thistle,Asterales,Asteraceae
Genista anglica,Petty Whin,Fabales,Fabaceae
Geranium molle,Dove's-foot Crane's-bill,Geraniales,Geraniaceae
Potentilla reptans,Creeping Cinquefoil,Rosales,Rosaceae
Senecio erucifolius,Hoary Ragwort,Asterales,Asteraceae
Persicaria amplexicaulis,Red Bistort,Caryophyllales,Polygonaceae
Bryonia dioica,White Bryony,Cucurbitales,Cucurbitaceae
Helianthus annuus,Sunflower,Asterales,Asteraceae
