sciname,FE
Perna canaliculus,5.8
Perna canaliculus,3.3
Perna canaliculus,6
Perna perna,18
Perna perna,19.7
Perna perna,53.2
Perna perna,19.3
Perna perna,18.3
Perna perna,47.7
Perna viridis,1.01
Perna viridis,13.3
Perna viridis,10.3
Perna viridis,6.3
Perna viridis,16.6
Perumytilus purpuratus,8.95
Pholas dactylus,12.109
Pila globosa,6.86
Pinctada fucata martensii,2.6
Pinctada radiata,0.28227
Pinctada radiata,2.84
"Pisidium clarkeanum, lamellidens marginalis",1.3
Plesionika spinipes,5.006
Plesionika spinipes,2.826
Pleuroploca trapezium,0.025
Podophthalmus vigil,7.45
Podophthalmus vigil,13.32
Polinices aemingiana,2.3
Pomacea bridgesii,1.94
Pomacea bridgesii,1.96
Pomacea canaliculata,48
Pomacea canaliculata,2.13
Pomacea canaliculata,2.35
Pomacea canaliculata,2.86
Portunus pelagicus,1.8
Portunus pelagicus,0.6
Portunus pelagicus,0.4
Portunus pelagicus,0.3
Portunus pelagicus,2.72
Portunus pelagicus,0.35
Portunus pelagicus,2.5
Portunus pelagicus,3.8
Portunus pelagicus,0.178
Portunus pelagicus,2.8
Portunus pelagicus,0.9
Portunus pelagicus,1.93
Portunus pelagius,5.5
Portunus sanguinolentus,0.98
Portunus sanguinolentus,4.44
Portunus trituberculatus,3
Portunus trituberculatus,0.3
Portunus trituberculatus,0.5
Potamon potamios,4
Potamon potamios,3
Potamon potamios,5
Potamon potamios,6
Potamon potamios,2
Potamon potamios,7
Potamon potamios,14
Potamon potamios,3.1
Procambarus clarkii,8.9
Procambarus clarkii,11.7
Procambarus clarkii,19.9
Procambarus clarkii,18.1
Protothaca jedoensis,14.4
Protothaca thaca,5.2
Pseudocardium sachalinensis,5.4
Pseudopusula sanguinea,1.4
Puerulus sewelli,1.809
Ranina ranina,5.4
Ranina ranina,3.4
Ranina ranina,0.8
Rapana venosa,4.6647
Rapana venosa,3.3
Reishia clavigera,3.9
"Rhopilema esculenta, nemopilema nomurai*",2.27
"Rhopilema esculenta, nemopilema nomurai*",0.3
Ruditapes philippinarum,18.8
Ruditapes philippinarum,27.8
Ruditapes philippinarum,16
Ruditapes philippinarum,50
Ruditapes philippinarum,16.9
Ruditapes philippinarum,3.8
Ruditapes philippinarum,13.3
Ruditapes philippinarum,3.7
Ruditapes philippinarum,29.7
Saccostrea glomerata,3.47
Saxidomus purpuratus,6
Scapharca broughtonii,7.4
Scapharca broughtonii,8
Scapharca broughtonii,3.7
Scapharca subcrenata,8.7
Scapharca subcrenata,9
Scylla serrata,1.735
Scylla serrata,2
Scylla serrata,1.7
Scylla serrata,1.6
Scylla serrata,1.8
Scylla serrata,10.2
Scylla tranquebarica,0.87
Scyllarides latus,1.41285
Semisulcospira amurensis,3.3
Semisulcospira coreana,2.4
Semisulcospira forticosta,1.7
Semisulcospira forticosta,8.2
Semisulcospira libertina,1.1
Sepia esculenta,0.1
Sepia esculenta,0.4
Sepia esculenta,4
Sepia esculenta,0.9
Sepia officinalis,2.5
Sepia officinalis,4.9
Sepia officinalis,3.5
Sepia officinalis,4
Sepia officinalis,0.25207
Sepia officinalis,7.2805
Sepia officinalis,1.8
Sepia pharaonis,0.62
Sepiella inermis,2.99
Sepiella inermis,0.221
Sepiella japonica,0.5
"Sepiolida, teuthida",0.68
"Sepiolida, teuthida",0.787
"Sepiolida, teuthida",2
"Sepiolida, teuthida",2.39
"Sepiolida, teuthida",1.35
Sergia lucens,3.2
Sergia lucens,0.5
Sergia lucens,3
Sinonovacula constricta,4.1
Siphonalia fusoides,7.2
Siphonalia spadicea fuscolineata,5
Solen gordonis,12.5
Solen marginatus,9.57
Solen strictus,5.5
Solenocera crassicornis,0.73
Spiralothelphusa hydrodroma,8e-5
Spiralothelphusa hydrodroma,1.4e-5
Spisula sachalinensis,4.4
Stichopus chloronotus,8
Stichopus herrmanni,9.4
Stichopus horrens,521.781
Stichopus japonicus,10
Stichopus japonicus,53
Stichopus japonicus,5.5
Stichopus japonicus,4.3
Stichopus japonicus,2.1
Stichopus japonicus,1.2
Strombus galeatus,3
Strombus galeatus,5.9
Strombus galeatus,4.8
Strombus gracilior,5.9
Strombus gracilior,0.0085033
Strombus gracilior,3
Strombus gracilior,4.8
Strombus gracilior,0.012327
Strombus gracilior,0.008352
Strombus gracilior,0.0142584
Strongylocentrotus droebachiensis,12.45
Strongylocentrotus droebachiensis,10.18
Sudanonautes africanus,15
Sudanonautes africanus,5.64
Sudanonautes africanus,8.35
Sudanonautes africanus,11.4
Sudanonautes africanus,7.12
Sudanonautes africanus,9.76
Tagelus dombeii,4.8
Taliepus dentatus,2.03
Taliepus dentatus,1.32
Tegillarca granosa,6.8
Tegula rustica,3.1
Tegula rustica,2.9
Tegula rustica,1.4
Tegula rustica,12.9
Telescopium telescopium,16.3
Telescopium telescopium,5.03
Terebralia sulcata,12
Teuthoidea spp.,1.3
Teuthoidea spp.,1.62
Thais bronni,2.1
Thalassina anomala,2.3
Thelenota ananas,21
Thelenota anax,20
Thenus orientalis,0.77
Thenus orientalis,0.35
Tivela mactroides,50.1
Todarodes pacificus,0.1
Todarodes pacificus,0.2
Todarodes pacificus,1.6
Todarodes sagittatus,6
Tonna luteostoma,3.7
Trachysalambria curvirostris,20
Trachysalambria curvirostris,0.3
Trachysalambria curvirostris,8
Trachysalambria curvirostris,15.6
Trachysalambria curvirostris,6
Trachysalambria curvirostris,15.1
Trachysalambria curvirostris,1.3
Tresus keenae,6.3
Tresus keenae,3.3
Tridacna maxima,2.3
Tripneustes gratilla,0.9
Turbo cornutus,8.2
Turbo cornutus,0.8
Turbo cornutus,7.6
Turbo cornutus,0.9
Turbo militaris,1.932
