species,english_name,order,family,genus,mean_dry_mass,mean_intertegular_distance
Andrena bicolor,Gwynne's Mining Bee,Hymenoptera,Andrenidae,Andrena,12.101765444444444,2.0261873407407407
Lasioglossum pauxillum,Lobe-spurred Furrow Bee,Hymenoptera,Halictidae,Lasioglossum,2.368406015037594,1.1154085218045113
Hylaeus confusus,White-jawed Yellow-face Bee,Hymenoptera,Colletidae,Hylaeus,NA,NA
Bombus lucorum,White-tailed Bumblebee,Hymenoptera,Apidae,Bombus,61.5003092972973,3.961593209009009
Andrena cineraria,Ashy Mining Bee,Hymenoptera,Andrenidae,Andrena,35.78794444444444,2.840297777777778
Andrena chrysosceles,Hawthorn Mining Bee,Hymenoptera,Andrenidae,Andrena,11.152190476190476,1.7036246952380951
Osmia bicolor,Red-tailed Mason Bee,Hymenoptera,Megachilidae,Osmia,22.996,2.5573964
Andrena nigroaenea,Buffish Mining Bee,Hymenoptera,Andrenidae,Andrena,32.72367213114754,2.8415408622950817
Andrena nitida,Grey-patched Mining Bee,Hymenoptera,Andrenidae,Andrena,34.9854,2.776782857142857
Lasioglossum xanthopus,Orange-footed Furrow Bee,Hymenoptera,Halictidae,Lasioglossum,21.779333333333334,2.4723886999999998
Bombus lapidarius,Red-tailed Bumblebee,Hymenoptera,Apidae,Bombus,56.845029411764706,3.7588716617647058
Platycheirus tarsalis,NA,Diptera,Syrphidae,Platycheirus,NA,NA
Lasioglossum fulvicorne,Chalk Furrow Bee,Hymenoptera,Halictidae,Lasioglossum,3.8716,1.36435
Ferdinandea cuprea,NA,Diptera,Syrphidae,Ferdinandea,15.357416749999999,3.2925
Chalcosyrphus nemorum,NA,Diptera,Syrphidae,Chalcosyrphus,12.321,2.184
Coelioxys inermis,Shiny-vented Sharp-tail Bee,Hymenoptera,Megachilidae,Coelioxys,10.196,1.9848158
Bombus rupestris,Hill Cuckoo Bee,Hymenoptera,Apidae,Bombus,178.596,5.8196076
Eristalis abusiva,NA,Diptera,Syrphidae,Eristalis,NA,NA
Scaeva pyrastri,NA,Diptera,Syrphidae,Scaeva,19.192916750000002,3.1245
Cheilosia bergenstammi,NA,Diptera,Syrphidae,Cheilosia,NA,NA
Lasioglossum fratellum,Smooth-faced Furrow Bee,Hymenoptera,Halictidae,Lasioglossum,NA,NA
Neoascia geniculata,NA,Diptera,Syrphidae,Neoascia,NA,NA
Eristalis nemorum,NA,Diptera,Syrphidae,Eristalis,NA,NA
Lasioglossum rufitarse,Rufous-footed Furrow Bee,Hymenoptera,Halictidae,Lasioglossum,NA,NA
Bombus bohemicus,Gypsy Cuckoo Bee,Hymenoptera,Apidae,Bombus,42.833,3.916
Andrena coitana,Small Flecked Mining Bee,Hymenoptera,Andrenidae,Andrena,NA,NA
Neoascia tenur,NA,Diptera,Syrphidae,Neoascia,NA,NA
Andrena subopaca,Impunctate Mini-miner,Hymenoptera,Andrenidae,Andrena,4.435803045454545,1.4016818181818183
Megachile willughbiella,Willughby's Leafcutter Bee,Hymenoptera,Megachilidae,Megachile,40.45,3.3875
Bombus sylvestris,Forest Cuckoo Bee,Hymenoptera,Apidae,Bombus,85.39,4.45725
Lasioglossum zonulum,Bull-headed Furrow Bee,Hymenoptera,Halictidae,Lasioglossum,3.324,1.455
Lasioglossum smeathmanellum,Smeathman's Furrow Bee,Hymenoptera,Halictidae,Lasioglossum,NA,NA
Megachile ligniseca,Wood-carving Leafcutter Bee,Hymenoptera,Megachilidae,Megachile,NA,NA
Nomada fabriciana,Fabricius' Nomad Bee,Hymenoptera,Apidae,Nomada,6.004526315789474,1.4868733789473685
Nomada flavoguttata,Little Nomad Bee,Hymenoptera,Apidae,Nomada,2.58,1.2413333333333334
Nomada panzeri,Panzer's Nomad Bee,Hymenoptera,Apidae,Nomada,NA,NA
Cheilosia pagana,NA,Diptera,Syrphidae,Cheilosia,NA,NA
Eumerus funeralis,NA,Diptera,Syrphidae,Eumerus,NA,NA
Sphaerophoria interrupta,NA,Diptera,Syrphidae,Sphaerophoria,NA,NA
Dasysyrphus venustus,NA,Diptera,Syrphidae,Dasysyrphus,9.621,2.736
Andrena fulva,Tawny Mining Bee,Hymenoptera,Andrenidae,Andrena,27.198461538461537,2.7290861384615384
Andrena scotica,Chocolate Mining Bee,Hymenoptera,Andrenidae,Andrena,NA,NA
Bombus soroeensis,Broken-belted Bumblebee,Hymenoptera,Apidae,Bombus,NA,NA
Bombus jonellus,Heath Bumblebee,Hymenoptera,Apidae,Bombus,NA,NA
Bombus campestris,Field Cuckoo Bee,Hymenoptera,Apidae,Bombus,NA,NA
Xylota jakutorum,NA,Diptera,Syrphidae,Xylota,NA,NA
Melanogaster hirtella,NA,Diptera,Syrphidae,Melanogaster,NA,NA
Cheilosia latifrons,NA,Diptera,Syrphidae,Cheilosia,NA,NA
